Heubner	388																																																																										
Heuser	43	134	374	405	458																																																																						
Heyden	374																																																																										
Heyer	325	412																																																																									
Hildebrand	221																																																																										
Hildenbrand	221	335	374																																																																								
Hilker	110	134	158	175	224	239	470																																																																				
Hiller-Foell	444																																																																										
H.M.D.	304																																																																										
Himmelreich	224																																																																										
Hinkes	343	344																																																																									
Hoeck	470																																																																										
Hoelzel	65	438																																																																									
Hoeloff	134	259																																																																									
Hoerle	325	326	338	344	374	418	470																																																																				
Hoetger	55	65	99	116	211	325	342	367																																																																			
Hofer	7	19	31	51	52	55	64	77	85	92	95	99	101	103	110	119	134	158	175	211	221	224	225	235	237	259	260	291	308	312	315	318	320	321	326	333	335	338	344	350	357	367	374	375	385	386	388	394	405	418	428	344	350	357	367	374	375	385	386	388	394	405	418	428	432	438	444	452	458	464	470	478			
Hofmann, Juan	119																																																																										
Hoff von den	135																																																																										
Hoffmann, Alred	45	110	116	119	120	158	326	428	470																																																																		
Hoffmann, Eugen	116	120																																																																									
Hoffmann-Linz	444																																																																										
Hoffman v.L.	158																																																																										
Hohlt	291																																																																										
Hohly	444																																																																										
Holtorf	318																																																																										
Holtz	59	99	225	470																																																																							
Holz	64	101	428	429																																																																							
Hompel ten	135	150																																																																									
Hopf	277																																																																										
Hopta	103																																																																										
Horchler	284																																																																										
Horn	239																																																																										
Hornberg	211																																																																										
Hosch	375	444																																																																									
Hosellek	412																																																																										
Hotzel Hanf	158																																																																										
Hölloff	350																																																																										
Höpfner	363																																																																										
Hörle	135																																																																										
Hötger	408																																																																										
Hubbuch	221	312																																																																									
Hubbusch	375																																																																										
Huber	304	375																																																																									
Hublitz	405																																																																										
Hufner	260																																																																										
Huhnen	344																																																																										
Hund	135																																																																										
Hundt	51	135	464																																																																								
Huth	43	158																																																																									
Hülsmann	388																																																																										
Hüther	291	388	405																																																																								
Iks	225	344																																																																									
Illgenfritz	405																																																																										
Illies	405																																																																										
Isenstein	43																																																																										
Isselmann	175	176	458																																																																								
Itten	65	176	326	338	375	452																																																																					
Jacob	8	103	120	121																																																																							
Jacobi	31																																																																										
Jaeckel	65	95	333	135	338	375	470																																																																				
Jagerspacher	470																																																																										
Jahne	260																																																																										
Jahns	291																																																																										
Jahnsen	291																																																																										
Jahrmilla	429																																																																										
Jansen	135	136	137	176	231	326																																																																					
Janssen	51																																																																										
Janthur	95	375	363																																																																								
Jawlensky	52	65	85	95	103	176	291	326	375	418	429	444	458	459	464	465	470																																																										
Jawlensky-Nenakomoff, Nesna	459																																																																										
Jäckel	135	363																																																																									
Jähnert	228																																																																										
Jené	308	418																																																																									
Jerusalem	202	211																																																																									
Joeden von	202																																																																										
Joerres	55	291																																																																									
Johansson	103	120																																																																									
John	363																																																																										
Johnsen	31																																																																										
Joseph	459																																																																										
Jörsig	405																																																																										
Juchner	103																																																																										
Junghanns	375																																																																										
Junghannes	478																																																																										
Jungnickel	452																																																																										
Jutz	103																																																																										
Jüchser	150	231																																																																									
Kahler	388																																																																										
Kahn	375	444																																																																									
Kaiser	260	298																																																																									
Kallin	350																																																																										
Kallmann	31	327																																																																									
Kaltwasser	104																																																																										
Kampmann	470	471																																																																									
